happiness_classification,norm_imports,norm_exports,fear,anger,surprise,sadness,disgust,joy,anticipation
not-happy,1.2321154959636151,0.49118547779422245,0.0574074074074074,0.0388888888888888,0.037037037037037,0.0592592592592592,0.0351851851851851,0.0944444444444444,0.1
not-happy,1.049083390780056,0.36297696509086436,0.0621193666260657,0.0450669914738124,0.0194884287454324,0.0450669914738124,0.0207064555420219,0.0706455542021924,0.1023142509135201
not-happy,1.4308713525199446,0.14981011527850852,0.033003300330033,0.0132013201320132,0.0363036303630363,0.0231023102310231,0.0132013201320132,0.1188118811881188,0.1023102310231023
not-happy,1.61035951219359,0.6057499052286826,0.0484171322160148,0.0279329608938547,0.0260707635009311,0.031657355679702,0.0204841713221601,0.0837988826815642,0.1247672253258845
not-happy,0.6837787617490935,0.23721966165786254,0.0522088353413654,0.0281124497991967,0.0261044176706827,0.038152610441767,0.0180722891566265,0.072289156626506,0.0963855421686747
not-happy,0.3390749535469846,1.438037773774342,0.1069418386491557,0.073170731707317,0.024390243902439,0.0806754221388367,0.0300187617260788,0.0769230769230769,0.0787992495309568
happy,2.015459686576609,3.070394599807498,0.0734597156398104,0.0473933649289099,0.0379146919431279,0.0450236966824644,0.0355450236966824,0.0687203791469194,0.0924170616113744
happy,1.4963483285422103,1.6652518749463954,0.0619335347432024,0.0347432024169184,0.0317220543806646,0.0211480362537764,0.0135951661631419,0.0770392749244713,0.1012084592145015
not-happy,189.14522103156557,215.4916679071889,0.0297699594046008,0.020297699594046,0.0297699594046008,0.0148849797023004,0.0054127198917456,0.10148849797023,0.1271989174560216
not-happy,0.8480261965199816,0.25287060056585114,0.0557184750733137,0.0351906158357771,0.0439882697947214,0.0410557184750733,0.0205278592375366,0.0967741935483871,0.1143695014662756
happy,0.1784016460857108,0.03424770414056609,0.0597826086956521,0.0398550724637681,0.036231884057971,0.0452898550724637,0.0217391304347826,0.0615942028985507,0.0887681159420289
happy,7.039449965998874,8.66782293549335,0.0697211155378486,0.0796812749003984,0.0119521912350597,0.0398406374501992,0.0358565737051792,0.0816733067729083,0.0816733067729083
happy,0.26725622830548645,0.057216453068310635,0.0546218487394958,0.0546218487394958,0.0315126050420168,0.0336134453781512,0.0462184873949579,0.0693277310924369,0.0987394957983193
not-happy,1.0331934566767673,0.44606490842430846,0.064066852367688,0.0445682451253481,0.0334261838440111,0.0445682451253481,0.0250696378830083,0.0807799442896936,0.0974930362116991
happy,1.242313045875812,1.8509023717441295,0.0929878048780487,0.0548780487804878,0.024390243902439,0.0503048780487804,0.0289634146341463,0.0823170731707317,0.1082317073170731
not-happy,1.232845621891412,0.2013162562388975,0.0739191073919107,0.0418410041841004,0.0167364016736401,0.0627615062761506,0.0278940027894002,0.0739191073919107,0.101813110181311
not-happy,0.7043934821216449,0.5061637508279454,0.0364464692482915,0.0387243735763098,0.0227790432801822,0.0227790432801822,0.0250569476082004,0.0911161731207289,0.0865603644646924
happy,1.3314684896624571,1.2953806781627826,0.0531496062992126,0.0354330708661417,0.0334645669291338,0.0334645669291338,0.0157480314960629,0.0826771653543307,0.1102362204724409
happy,2.243022615659277,1.4204103214585564,0.0507614213197969,0.0253807106598984,0.0406091370558375,0.0177664974619289,0.0177664974619289,0.1142131979695431,0.1218274111675127
not-happy,5.734936433968486,4.151039036820449,0.0730050933786078,0.0492359932088285,0.0373514431239388,0.0492359932088285,0.0254668930390492,0.0797962648556876,0.0848896434634974
not-happy,3.272182542328141,2.6740674892257323,0.0697115384615384,0.0360576923076923,0.0192307692307692,0.0504807692307692,0.0384615384615384,0.0865384615384615,0.0985576923076923
not-happy,1.6179193413323596,0.5411183868177668,0.0902366863905325,0.0650887573964497,0.0192307692307692,0.0606508875739644,0.0310650887573964,0.0636094674556213,0.0724852071005917
happy,0.467300541665719,0.3366286829011959,0.0393013100436681,0.0218340611353711,0.0524017467248908,0.0240174672489082,0.019650655021834,0.0589519650655021,0.1157205240174672
happy,0.8448542456581211,0.6159597604163285,0.0586797066014669,0.0391198044009779,0.0342298288508557,0.0366748166259168,0.0293398533007334,0.0782396088019559,0.1100244498777506
not-happy,0.5040475132947114,0.2674743268355078,0.0555555555555555,0.042824074074074,0.03125,0.0358796296296296,0.0243055555555555,0.0810185185185185,0.099537037037037
not-happy,0.2648352972778686,0.11906379202523953,0.0929577464788732,0.076056338028169,0.0253521126760563,0.0591549295774647,0.0338028169014084,0.076056338028169,0.0732394366197183
